Contract,Date,Portfolio_Value
20486403,25 de agosto de 2023,1949947.8895
20486403,25 de enero de 2023,1523503.047458
20486403,25 de julio de 2023,1958296.952975
20486403,25 de mayo de 2023,1684234.0517
20486403,25 de octubre de 2023,1992315.1764999998
20486403,25 de septiembre de 2023,1967539.6902
20486403,26 de abril de 2023,1596193.2795000002
20486403,26 de diciembre de 2022,1538085.36413
20486403,26 de enero de 2023,1523955.576289
20486403,26 de julio de 2023,1959437.9401999998
20486403,26 de junio de 2023,1933298.1459
20486403,26 de mayo de 2023,1684762.5982
20486403,26 de octubre de 2023,1992958.1351
20486403,26 de septiembre de 2023,1967326.7066000002
20486403,27 de abril de 2023,1596692.7130999998
20486403,27 de diciembre de 2022,1538612.80806
20486403,27 de enero de 2023,1524407.690987
20486403,27 de febrero de 2023,1538220.23
20486403,27 de julio de 2023,1960109.436575
20486403,27 de junio de 2023,1932864.3051000002
20486403,27 de marzo de 2023,1581532.8505000002
20486403,27 de noviembre de 2023,2011307.8297000001
20486403,27 de octubre de 2023,1993564.8874000001
20486403,27 de septiembre de 2023,1968398.9772
20486403,28 de abril de 2023,1573680.3291500001
20486403,28 de agosto de 2023,1951716.7230999998
20486403,28 de diciembre de 2022,1539016.87085
20486403,28 de febrero de 2023,1538773.3705
20486403,28 de julio de 2023,1954710.513175
20486403,28 de junio de 2023,1934165.1812
20486403,28 de marzo de 2023,1581990.0192
20486403,28 de noviembre de 2023,2012186.4317
20486403,28 de septiembre de 2023,1969118.4889999998
20486403,29 de agosto de 2023,1951565.2869000002
20486403,29 de diciembre de 2022,1539483.70427
20486403,29 de junio de 2023,1934742.8464
20486403,29 de marzo de 2023,1582496.822
20486403,29 de mayo de 2023,1686341.215
20486403,29 de noviembre de 2023,2012582.1297999998
20486403,29 de septiembre de 2023,1969672.4223
20486403,3 de abril de 2023,1584045.9254
20486403,3 de agosto de 2023,1938177.145187
20486403,3 de enero de 2023,1541574.67455
20486403,3 de febrero de 2023,1527526.8569
20486403,3 de julio de 2023,1947049.2316
20486403,3 de marzo de 2023,1570103.4481
20486403,3 de mayo de 2023,1655987.8482000001
20486403,3 de noviembre de 2023,1997998.5244999998
20486403,3 de octubre de 2023,1972139.4951
20486403,30 de agosto de 2023,1952747.7518000002
20486403,30 de diciembre de 2022,1539947.04573
20486403,30 de enero de 2023,1525743.291747
20486403,30 de junio de 2023,1945250.0799999998
20486403,30 de marzo de 2023,1583043.4108000002
20486403,30 de mayo de 2023,1685898.2641
20486403,30 de noviembre de 2023,2013151.8982
20486403,30 de octubre de 2023,1995463.4726999998
20486403,31 de agosto de 2023,1953346.7961
20486403,31 de enero de 2023,1526124.4219000002
20486403,31 de julio de 2023,1936454.0229
20486403,31 de marzo de 2023,1583498.6596000001
20486403,31 de mayo de 2023,1687276.442
20486403,31 de octubre de 2023,1996115.5384
20486403,4 de abril de 2023,1585296.024
20486403,4 de agosto de 2023,1938803.741414
20486403,4 de enero de 2023,1516018.863016
20486403,4 de julio de 2023,1947495.5119000003
20486403,4 de mayo de 2023,1656507.94315
20486403,4 de octubre de 2023,1980674.3405000002
20486403,4 de septiembre de 2023,1955797.2005999999
20486403,5 de abril de 2023,1585821.779
20486403,5 de enero de 2023,1516456.773802
20486403,5 de julio de 2023,1948153.1844000001
20486403,5 de junio de 2023,1672392.3798
20486403,5 de mayo de 2023,1657039.4530999998
20486403,5 de octubre de 2023,1981401.1373700001
20486403,5 de septiembre de 2023,1956574.7912
20486403,6 de enero de 2023,1516903.4750340001
20486403,6 de julio de 2023,1948766.512757
20486403,6 de junio de 2023,1672827.1313999998
20486403,6 de marzo de 2023,1571537.6549
20486403,6 de noviembre de 2023,1999864.342
20486403,6 de octubre de 2023,1981939.65584
20486403,6 de septiembre de 2023,1957189.6734
20486403,7 de agosto de 2023,1940570.630762
20486403,7 de febrero de 2023,1529337.4880000001
20486403,7 de julio de 2023,1949359.320834
20486403,7 de junio de 2023,1673358.6638
20486403,7 de marzo de 2023,1572013.8965000003
20486403,7 de noviembre de 2023,2000552.2831000001
20486403,7 de septiembre de 2023,1957719.9852
20486403,8 de agosto de 2023,1941204.2513899999
20486403,8 de febrero de 2023,1529629.8614999999
20486403,8 de junio de 2023,1673898.5048
20486403,8 de marzo de 2023,1572180.6812
20486403,8 de mayo de 2023,1658524.65195
20486403,8 de noviembre de 2023,1993165.7481
20486403,8 de septiembre de 2023,1958354.7526999998
20486403,9 de agosto de 2023,1941829.945443
20486403,9 de diciembre de 2022,1531486.4876299999
20486403,9 de enero de 2023,1518228.1698170002
20486403,9 de febrero de 2023,1529847.0308
20486403,9 de junio de 2023,1674409.7693999999
20486403,9 de marzo de 2023,1572838.2886
20486403,9 de mayo de 2023,1659069.7456500002
20486403,9 de noviembre de 2023,1993786.9493
20486403,9 de octubre de 2023,1983767.91499
AHA84901,1 de agosto de 2023,547358.86253
AHA84901,1 de noviembre de 2023,526731.5998
AHA84901,1 de septiembre de 2023,552101.1592
AHA84901,10 de agosto de 2023,548819.66221
AHA84901,10 de julio de 2023,205610.5336
AHA84901,10 de noviembre de 2023,528220.0427999999
AHA84901,10 de octubre de 2023,558332.3531
AHA84901,11 de agosto de 2023,548979.77579
AHA84901,11 de julio de 2023,205670.3431
AHA84901,11 de octubre de 2023,558501.6333999999
AHA84901,11 de septiembre de 2023,553742.3306999999
AHA84901,12 de julio de 2023,205729.4806
AHA84901,12 de octubre de 2023,558662.1926999999
AHA84901,12 de septiembre de 2023,553880.0565
AHA84901,13 de julio de 2023,205794.92460000003
AHA84901,13 de noviembre de 2023,528701.0955
AHA84901,13 de octubre de 2023,558614.7510999999
AHA84901,13 de septiembre de 2023,554042.38
AHA84901,14 de agosto de 2023,549465.50919
AHA84901,14 de julio de 2023,205852.7646
AHA84901,14 de noviembre de 2023,528862.7814
AHA84901,14 de septiembre de 2023,553977.7713
AHA84901,15 de agosto de 2023,549503.1802299999
AHA84901,15 de noviembre de 2023,528797.3719
AHA84901,15 de septiembre de 2023,554142.0353
AHA84901,16 de agosto de 2023,549666.84035
AHA84901,16 de noviembre de 2023,528960.5085
AHA84901,16 de octubre de 2023,559132.7298000001
AHA84901,17 de agosto de 2023,549832.96109
AHA84901,17 de julio de 2023,206040.3661
AHA84901,17 de noviembre de 2023,529121.2271
AHA84901,17 de octubre de 2023,559310.8943
AHA84901,18 de agosto de 2023,549994.38928
AHA84901,18 de julio de 2023,206096.5266
AHA84901,18 de octubre de 2023,559478.5956
AHA84901,18 de septiembre de 2023,554655.6948
AHA84901,19 de julio de 2023,206157.11609999998
AHA84901,19 de octubre de 2023,529651.6915999999
AHA84901,19 de septiembre de 2023,554836.8963
AHA84901,2 de agosto de 2023,547527.52986
AHA84901,2 de octubre de 2023,556941.0615
AHA84901,20 de julio de 2023,206218.2611
AHA84901,20 de octubre de 2023,529809.9425
AHA84901,20 de septiembre de 2023,555003.4066999999
AHA84901,21 de agosto de 2023,550482.45019
AHA84901,21 de julio de 2023,206280.6796
AHA84901,21 de noviembre de 2023,529528.1027
AHA84901,21 de septiembre de 2023,555174.2309
AHA84901,22 de agosto de 2023,550644.15349
AHA84901,22 de noviembre de 2023,529986.2876
AHA84901,22 de septiembre de 2023,555345.4145
AHA84901,23 de agosto de 2023,550729.8788000001
AHA84901,23 de noviembre de 2023,430046.76029999997
AHA84901,23 de octubre de 2023,530306.8422
AHA84901,24 de agosto de 2023,550892.0160000001
AHA84901,24 de julio de 2023,546463.7805999999
AHA84901,24 de noviembre de 2023,430177.2279
AHA84901,24 de octubre de 2023,530161.9875
AHA84901,25 de agosto de 2023,551053.368
AHA84901,25 de julio de 2023,546267.677
AHA84901,25 de octubre de 2023,530583.6814
AHA84901,25 de septiembre de 2023,555862.6976000001
AHA84901,26 de julio de 2023,546472.7471
AHA84901,26 de junio de 2023,200000.0
AHA84901,26 de octubre de 2023,525747.0351
AHA84901,26 de septiembre de 2023,555716.0199
AHA84901,27 de julio de 2023,546644.6335
AHA84901,27 de junio de 2023,204868.6095
AHA84901,27 de noviembre de 2023,430473.78459999996
AHA84901,27 de octubre de 2023,525905.7533999999
AHA84901,27 de septiembre de 2023,556110.5577
AHA84901,28 de agosto de 2023,551539.7273
AHA84901,28 de julio de 2023,546778.731
AHA84901,28 de junio de 2023,204914.26650000003
AHA84901,28 de noviembre de 2023,430652.7504
AHA84901,28 de septiembre de 2023,556300.0546
AHA84901,29 de agosto de 2023,551386.0274
AHA84901,29 de junio de 2023,204976.7575
AHA84901,29 de noviembre de 2023,430736.0483
AHA84901,29 de septiembre de 2023,556450.2222
AHA84901,3 de agosto de 2023,547683.24261
AHA84901,3 de julio de 2023,205200.2735
AHA84901,3 de noviembre de 2023,527059.754
AHA84901,3 de octubre de 2023,557155.9865
AHA84901,30 de agosto de 2023,551779.0297
AHA84901,30 de junio de 2023,205024.9605
AHA84901,30 de noviembre de 2023,430842.6591
AHA84901,30 de octubre de 2023,526397.4076
AHA84901,31 de agosto de 2023,551940.042
AHA84901,31 de julio de 2023,547225.4219
AHA84901,31 de octubre de 2023,526566.6272999999
AHA84901,4 de agosto de 2023,547855.3104
AHA84901,4 de julio de 2023,205252.1201
AHA84901,4 de octubre de 2023,557287.615
AHA84901,4 de septiembre de 2023,552581.6786
AHA84901,5 de julio de 2023,205312.4101
AHA84901,5 de octubre de 2023,557476.6468999999
AHA84901,5 de septiembre de 2023,552812.7076
AHA84901,6 de julio de 2023,205373.85809999998
AHA84901,6 de noviembre de 2023,527550.4354
AHA84901,6 de octubre de 2023,557630.2152
AHA84901,6 de septiembre de 2023,552971.4647
AHA84901,7 de agosto de 2023,548331.43343
AHA84901,7 de julio de 2023,205432.97009999998
AHA84901,7 de noviembre de 2023,527739.9407
AHA84901,7 de septiembre de 2023,553100.1696
AHA84901,8 de agosto de 2023,548493.33697
AHA84901,8 de noviembre de 2023,527901.2093999999
AHA84901,8 de septiembre de 2023,553263.4371
AHA84901,9 de agosto de 2023,548661.48454
AHA84901,9 de noviembre de 2023,528059.943
AHA84901,9 de octubre de 2023,558141.2473
